Market,Time Zone,Open,Close,Sat Open,Sat Close,Year,Month,NDay,Day,Hour,Order Management Interactions,Order Management HT (hr),Orders,Analog,Digital,Occur Int,Occur Ord
NORTH AL,CENTRAL,05:00:00.000,17:00:00.000,,,2025,10,3,Wednesday,13:00:00.000,85,6.251566949,0,0,0,5,5
NORTH AL,CENTRAL,05:00:00.000,17:00:00.000,,,2025,10,3,Wednesday,14:00:00.000,57,4.952704363,0,0,0,5,5
NORTH AL,CENTRAL,05:00:00.000,17:00:00.000,,,2025,10,3,Wednesday,15:00:00.000,32,1.604722222,0,0,0,5,4
NORTH AL,CENTRAL,05:00:00.000,17:00:00.000,,,2025,10,3,Wednesday,16:00:00.000,14,0.7863518233,0,0,0,3,1
NORTH AL,CENTRAL,05:00:00.000,17:00:00.000,,,2025,10,3,Wednesday,23:00:00.000,,,0,0,0,,2
NORTH AL,CENTRAL,05:00:00.000,17:00:00.000,,,2025,10,4,Thursday,00:00:00.000,,,0,0,0,,2
NORTH AL,CENTRAL,05:00:00.000,17:00:00.000,,,2025,10,4,Thursday,01:00:00.000,,,0,0,0,,2
NORTH AL,CENTRAL,05:00:00.000,17:00:00.000,,,2025,10,4,Thursday,02:00:00.000,,,0,0,0,,2
NORTH AL,CENTRAL,05:00:00.000,17:00:00.000,,,2025,10,4,Thursday,03:00:00.000,,,0,0,0,,3
NORTH AL,CENTRAL,05:00:00.000,17:00:00.000,,,2025,10,4,Thursday,04:00:00.000,,,0,0,0,,3
NORTH AL,CENTRAL,05:00:00.000,17:00:00.000,,,2025,10,4,Thursday,05:00:00.000,21,1.44280147,0,0,0,5,4
NORTH AL,CENTRAL,05:00:00.000,17:00:00.000,,,2025,10,4,Thursday,06:00:00.000,74,6.604848292,0,0,0,5,5
