Market,Year,Month,Media Type,Handle Time (seconds),Interactions
NORTH CA,2025,10,email,33947,124
NORTH CA,2025,10,message,179439,1077
NORTH CA,2025,10,voice,2704962,14388
NORTH CA,2025,11,email,22171,93
NORTH CA,2025,11,message,121127,856
NORTH CA,2025,11,voice,1841463,10236
NORTH CA,2025,12,callback,17,1
NORTH CA,2025,12,email,18737,87
NORTH CA,2025,12,message,150923,1058
NORTH CA,2025,12,voice,2056640,10979
NORTH CA,2026,1,callback,16,2
NORTH CA,2026,1,email,22860,121
NORTH CA,2026,1,message,162230,925
NORTH CA,2026,1,voice,1877762,10544
NORTH CA,2026,2,callback,8,1
NORTH CA,2026,2,email,27926,99
NORTH CA,2026,2,message,160953,964
NORTH CA,2026,2,voice,1647333,9343
NORTH CA,2026,3,callback,993,1
PANAMA CITY,2025,9,voice,206670,1873
PANAMA CITY,2025,10,callback,204,9
PANAMA CITY,2025,10,voice,230991,2060
PANAMA CITY,2025,11,callback,22,4
PANAMA CITY,2025,11,voice,169021,1611
PANAMA CITY,2025,12,callback,19,3
PANAMA CITY,2025,12,voice,187341,1742
PANAMA CITY,2026,1,callback,21,3
PANAMA CITY,2026,1,voice,186777,1731
PANAMA CITY,2026,2,callback,38,6
PANAMA CITY,2026,2,voice,209753,1918
PANAMA CITY,2026,3,callback,16,3
PANAMA CITY,2026,3,voice,227862,2261
PANAMA CITY,2026,4,callback,37,6
PANAMA CITY,2026,4,voice,182731,1889
PANAMA CITY,2026,5,callback,49,8
PANAMA CITY,2026,5,voice,159635,1502
RENO,2025,6,voice,240356,1795
RENO,2025,7,voice,233497,1902
RENO,2025,8,voice,217611,2007
RENO,2025,9,voice,213725,1927
RENO,2025,10,voice,230300,2147
RENO,2025,11,voice,206315,1791
RENO,2025,12,voice,131500,1271
RENO,2026,1,voice,149020,1433
RENO,2026,2,voice,129945,1263
RENO,2026,3,voice,188158,1857
RENO,2026,4,voice,192034,1760
RENO,2026,5,voice,183478,1606
SAN ANTONIO,2025,6,voice,422529,3115
SAN ANTONIO,2025,7,voice,471506,3367
SAN ANTONIO,2025,8,callback,6,1
SAN ANTONIO,2025,8,voice,378836,2749
SAN ANTONIO,2025,9,callback,9,1
SAN ANTONIO,2025,9,voice,360164,2604
SAN ANTONIO,2025,10,callback,151,1
SAN ANTONIO,2025,10,voice,394483,3188
SAN ANTONIO,2025,11,voice,79172,689
SAN ANTONIO,2025,12,voice,69802,699
SAN ANTONIO,2026,1,voice,61376,651
SAN ANTONIO,2026,2,voice,69734,662
SAN ANTONIO,2026,3,voice,55833,629
SAN ANTONIO,2026,4,voice,45123,407
SAN ANTONIO,2026,5,voice,32711,306
SOUTH CA,2025,6,callback,11,1
SOUTH CA,2025,6,email,7081,115
SOUTH CA,2025,6,message,374002,1481
SOUTH CA,2025,6,voice,1504817,8289
SOUTH CA,2025,7,email,11690,123
SOUTH CA,2025,7,message,454718,1821
SOUTH CA,2025,7,voice,1795783,10043
SOUTH CA,2025,8,email,12268,101
SOUTH CA,2025,8,message,378494,1454
SOUTH CA,2025,8,voice,1780469,9630
SOUTH CA,2025,9,email,7004,79
SOUTH CA,2025,9,message,369446,1489
SOUTH CA,2025,9,voice,1771053,9412
SOUTH CA,2025,10,callback,4618,13
SOUTH CA,2025,10,email,16077,98
SOUTH CA,2025,10,message,451250,1769
SOUTH CA,2025,10,voice,1870616,9796
SOUTH CA,2025,11,email,14618,71
SOUTH CA,2025,11,message,252112,931
SOUTH CA,2025,11,voice,1315070,6539
SOUTH CA,2025,12,email,13628,75
SOUTH CA,2025,12,message,331712,1376
SOUTH CA,2025,12,voice,1772662,9357
SOUTH CA,2026,1,email,28440,126
SOUTH CA,2026,1,message,323648,1381
SOUTH CA,2026,1,voice,1738619,8955
SOUTH CA,2026,2,email,21071,89
SOUTH CA,2026,2,message,290514,1195
SOUTH CA,2026,2,voice,1450259,7828
SOUTH CA,2026,3,callback,961,1
SOUTH CA,2026,3,email,6147,44
SOUTH CA,2026,3,message,331654,1293
SOUTH CA,2026,3,voice,1856505,9849
SOUTH CA,2026,4,email,2186,12
JUPITER,2025,6,voice,3849877,19882
JUPITER,2025,7,callback,3891,21
JUPITER,2025,7,email,151535,1223
JUPITER,2025,7,message,211493,633
JUPITER,2025,7,voice,3793372,19902
JUPITER,2025,8,callback,1916,8
JUPITER,2025,8,email,113567,1077
JUPITER,2025,8,message,160952,509
JUPITER,2025,8,voice,3485997,18316
JUPITER,2025,9,callback,3103,12
JUPITER,2025,9,email,113818,1015
JUPITER,2025,9,message,171310,576
JUPITER,2025,9,voice,3390393,18775
JUPITER,2025,10,callback,6961,35
JUPITER,2025,10,email,137006,1178
JUPITER,2025,10,message,180111,689
JUPITER,2025,10,voice,3629526,20555
JUPITER,2025,11,callback,8959,27
JUPITER,2025,11,email,117452,1053
JUPITER,2025,11,message,150727,542
JUPITER,2025,11,voice,2960956,16647
JUPITER,2025,12,callback,7020,26
JUPITER,2025,12,email,120426,1344
JUPITER,2025,12,message,155245,600
JUPITER,2025,12,voice,3228648,17640
JUPITER,2026,1,callback,5997,19
JUPITER,2026,1,email,122305,1311
