Market,YEAR,MONTH,Media Type,Handle Time (seconds),Interactions
East TN,2025,7,voice,162513,1942
East TN,2025,8,callback,8,1
East TN,2025,8,voice,133167,1659
East TN,2025,9,callback,23,4
East TN,2025,9,voice,240950,2674
East TN,2025,10,callback,349,17
East TN,2025,10,voice,546646,4876
East TN,2025,11,callback,289,16
East TN,2025,11,voice,457978,4091
East TN,2025,12,callback,249,20
East TN,2025,12,voice,477488,4330
East TN,2026,1,callback,292,23
East TN,2026,1,voice,475132,4475
East TN,2026,2,callback,480,36
East TN,2026,2,voice,439627,4157
East TN,2026,3,callback,248,23
East TN,2026,3,voice,578440,5570
East TN,2026,4,callback,528,20
East TN,2026,4,voice,628542,5690
Foley,2025,5,callback,172,3
Foley,2025,5,voice,265260,1833
Foley,2025,6,callback,492,9
Foley,2025,6,voice,252348,1840
Foley,2025,7,callback,157,2
Foley,2025,7,voice,259001,1777
Foley,2025,8,callback,73,3
Foley,2025,8,voice,259297,1778
Foley,2025,9,callback,13,2
Foley,2025,9,voice,281515,1992
Foley,2025,10,callback,27,4
Foley,2025,10,voice,262727,1935
Foley,2025,11,callback,13,2
Foley,2025,11,voice,188755,1661
Foley,2025,12,callback,180,5
Foley,2025,12,voice,173688,1536
Foley,2026,1,callback,18,2
Foley,2026,1,voice,190442,1740
Foley,2026,2,callback,23,3
Foley,2026,2,voice,210858,1777
Foley,2026,3,callback,211,3
Foley,2026,3,voice,291868,2236
Foley,2026,4,callback,97,5
Foley,2026,4,voice,238564,1775
Houston,2025,5,email,915,8
Houston,2025,5,message,373895,1004
Houston,2025,5,voice,2112682,10745
Houston,2025,6,callback,13,2
Houston,2025,6,message,337041,855
Houston,2025,6,voice,2044290,10808
Houston,2025,7,callback,43,1
Houston,2025,7,email,15,1
Houston,2025,7,message,358548,853
Houston,2025,7,voice,2142920,11344
Houston,2025,8,callback,22,3
Houston,2025,8,message,356997,783
Houston,2025,8,voice,1966936,11355
Houston,2025,9,email,29,3
Houston,2025,9,message,177255,467
Houston,2025,9,voice,1773890,11079
Houston,2025,10,callback,1026,3
Houston,2025,10,email,1311,12
Houston,2025,10,message,154156,392
Houston,2025,10,voice,1734400,10721
Houston,2025,11,email,1296,15
Houston,2025,11,message,123876,346
Houston,2025,11,voice,1659459,9089
Houston,2025,12,email,1128,6
Houston,2025,12,message,138660,381
Houston,2025,12,voice,1567124,9428
Houston,2026,1,email,1110,9
Houston,2026,1,message,163293,442
Houston,2026,1,voice,1627709,9581
Houston,2026,2,email,312,10
Houston,2026,2,message,146152,484
Houston,2026,2,voice,1774003,10722
Houston,2026,3,email,214,2
Houston,2026,3,message,170437,598
Houston,2026,3,voice,1754726,11076
Houston,2026,4,email,307,6
Houston,2026,4,message,149164,579
Houston,2026,4,voice,1414549,8983
Jupiter,2025,5,callback,6369,32
Jupiter,2025,5,email,206196,1347
Jupiter,2025,5,message,234779,638
Jupiter,2025,5,voice,3308123,17223
Jupiter,2025,6,callback,469,10
Jupiter,2025,6,email,159311,1222
Jupiter,2025,6,message,168220,486
Jupiter,2025,6,voice,2226690,10926
Jupiter,2025,7,callback,24,3
Jupiter,2025,7,email,139038,1158
Jupiter,2025,7,message,192666,546
Jupiter,2025,7,voice,2202726,10784
Jupiter,2025,8,email,104315,1045
Jupiter,2025,8,message,151822,435
Jupiter,2025,8,voice,2191943,10307
Jupiter,2025,9,email,99397,967
Jupiter,2025,9,message,146641,447
Jupiter,2025,9,voice,1954994,10072
